poem_id;pos;sentence;lemma;upos
doc3;1;Ой дід-ладо;ой;INTJ
doc3;2;Ой дід-ладо;дід;NOUN
doc3;4;Ой дід-ладо;ладо;NOUN
doc4;1;Ой дід-ладо;ой;INTJ
doc4;2;Ой дід-ладо;дід;NOUN
doc4;4;Ой дід-ладо;ладо;NOUN
doc7;1;Ой дід-ладо;ой;INTJ
doc7;2;Ой дід-ладо;дід;NOUN
doc7;4;Ой дід-ладо;ладо;NOUN
doc8;1;Ой дід-ладо;ой;INTJ
doc8;2;Ой дід-ладо;дід;NOUN
doc8;4;Ой дід-ладо;ладо;NOUN
doc11;1;Ой дід-ладо;ой;INTJ
doc11;2;Ой дід-ладо;дід;NOUN
doc11;4;Ой дід-ладо;ладо;NOUN
doc12;1;Ой дід-ладо;ой;INTJ
doc12;2;Ой дід-ладо;дід;NOUN
doc12;4;Ой дід-ладо;ладо;NOUN
doc15;1;Ой дід-ладо;ой;INTJ
doc15;2;Ой дід-ладо;дід;NOUN
doc15;4;Ой дід-ладо;ладо;NOUN
doc16;1;Ой дід-ладо;ой;INTJ
doc16;2;Ой дід-ладо;дід;NOUN
doc16;4;Ой дід-ладо;ладо;NOUN
doc19;1;Ой дід-ладо;ой;INTJ
doc19;2;Ой дід-ладо;дід;NOUN
doc19;4;Ой дід-ладо;ладо;NOUN
doc20;1;Ой дід-ладо;ой;INTJ
doc20;2;Ой дід-ладо;дід;NOUN
doc20;4;Ой дід-ладо;ладо;NOUN
doc23;1;Ой дід-ладо;ой;INTJ
doc23;2;Ой дід-ладо;дід;NOUN
doc23;4;Ой дід-ладо;ладо;NOUN
doc24;1;Ой дід-ладо;ой;INTJ
doc24;2;Ой дід-ладо;дід;NOUN
doc24;4;Ой дід-ладо;ладо;NOUN
doc27;1;Ой дід-ладо;ой;INTJ
doc27;2;Ой дід-ладо;дід;NOUN
doc27;4;Ой дід-ладо;ладо;NOUN
doc28;1;Ой дід-ладо;ой;INTJ
doc28;2;Ой дід-ладо;дід;NOUN
