Number of line;Title;Text
1;ВОГДАЙ, ПО ТІМ БОЦІ;Вогдай, по тім боці,
2;;Вогдай, по толоці
3;;Цигани стояли,
4;;Да цигани стояли.
5;;
6;;Вогдай, между тими,
7;;Вогдай, циганами
8;;Циганка ворожка,
9;;Да циганка ворожка.
10;;
11;;Вогдай, до той циганочки,
12;;Вогдай, до ворожечки
13;;Втоптана дорожка,
14;;[Да втоптана дорожка.]
15;;
16;;Вогдай, по той стьожки,
17;;Вогдай, по дорожки
18;;Дівчина ходила,
19;;[Да дівчина ходила.]
20;;
21;;Вогдай, вона ж тую,
22;;Вогдай, циганочку,
23;;Вірненько просила,
24;;[Да вірненько просила:]
25;;
26;;– Вогдай, циганочко,
27;;Вогдай, ворожечко,
28;;Вчини ж мою волю,
29;;[Да вчини ж мою волю:]
30;;
31;;Вогдай, счаруй, счаруй,
32;;Вогдай, козаченька,
33;;Навіки зо мною,
34;;[Да навіки зо мною.]
35;;
36;;– Вогдай, по тім боці,
37;;Вогдай, по толоці
38;;Буркан-зілля в’ється,
39;;[Да буркан-зілля в’ється,]
40;;
41;;Вогдай, над тою, да
42;;Вогдай, дівчиною,
43;;Три козаки б’ється,
44;;[Да три козаки б’ється.]
45;;
46;;Вогдай, їден козак,
47;;Вогдай, коло стола
48;;Дрібні листи пише,
49;;[Да дрібні листи пише,]
50;;
51;;Вогдай, другий козак,
52;;Вогдай, дівчиноньці
53;;Червінцями сипе,
54;;[Да червінцями сипе,]
55;;
56;;Вогдай, третій козак,
57;;Вогдай, коло порога,
58;;Дрібні сльози ллються,
59;;[Да дрібні сльози ллються.]
60;;
61;ОЙ ТУМАН ЯРОМ;Ой туман яром,
62;;Та й туман яром,
63;;Туман долиною,
64;;Та й туман долиною.
65;;
66;;Та тудою йшли,
67;;Та й циганочки
68;;Шляхом дорогою,
69;;Та й шляхом-дорогою.
70;;
71;;Ой поміж тими
72;;Та й циганами
73;;Циганка-ворожка,
74;;Та й циганка-ворожка.
75;;
76;;Ой до теї
77;;Та й циганочки
78;;Дівчина ходила,
79;;Та й дівчина ходила.
80;;
81;;Ой вона ж теї
82;;Та й циганочки
83;;Покірно просила,
84;;Та й покірно просила:
85;;
86;;– Ти циганочко-
87;;Подоляночко,
88;;Вчини мою волю,
89;;Та й вчини мою волю:
90;;
91;;Ой зчаруй вже того
92;;Та й козаченька,
93;;Щоб він жив зі мною,
94;;Та й щоб він жив зі мною.
95;;
96;;Та циганочка-
97;;Подоляночка
98;;Волю учинила,
99;;Та й волю учинила.
100;;
101;;Ой урізала
102;;У коня гриву,
103;;Козака курила,
104;;Та й козака курила.
105;;
106;;Ой сидить козак
107;;Та й на конику,
108;;Як рибонька б'ється,
109;;Та як рибонька б'ється,
110;;
111;;А сидить дівка
112;;Край віконечка
113;;Та й з його сміється,
114;;Та й з його сміється.
115;;
116;ОЙ ЗІЙДИ, ЗІЙДИ;Ой зійди, зійди,
117;;Ой зійди, зійди,
118;;Ще й ясний та місяць,
119;;Ще й ясна зоря.
120;;
121;;Ще й ясна зоря...
122;;Ой прибудь, прибудь,
123;;Разудалий молодчик,
124;;В гості до мєня.
125;;
126;;В гості до мєня...
127;;Ой випий, випий,
128;;Разудалий молодчик,
129;;Хоть рюмку вина.
130;;
131;;Хоть рюмку вина...
132;;– Ой випий,випий,
133;;Разудала дівчина,
134;;Поперед сама.
135;;
136;;Поперед сама...
137;;Ой щоб ти мені,
138;;Парню молодому
139;;Чарів не дала.
140;;
141;;Чарів не дала...
142;;Ой щоб ти мене,
143;;Парня молодого,
144;;Не зчарувала.
145;;
146;;Ой в неділю рано,
147;;Рано-пораненьку
148;;Рано-пораненьку
149;;Всі дзвони ревуть.
150;;
151;;Всі дзвони ревуть...
152;;Ой уже ж того,
153;;Парня молодого,
154;;До гробу несуть.
155;;
156;;До гробу несуть…
157;;Ой за ним,за ним
158;;Його рідна мати
159;;Побивається.
160;;
161;;А стоїть дівка
162;;А стоїть дівка
163;;В новеньких воротах,
164;;Усміхається:
165;;
166;;– Ой було б тобі,
167;;Ой було б тобі,
168;;Молодий козаче,
169;;Нас трьох не любить.
170;;
171;;А тепер будеш,
172;;А тепер будеш,
173;;Молодий козаче,
174;;В сирій землі гнить.
175;;
176;ОЙ ДЕ Ж ЖЕ ТИ НОЧУВАВ ;– Ой де ж же ти ночував,
177;;Сину Василеньку?
178;;– Ой у вдови в подушечках,
179;;Мамуню серденько.
180;;– Ой у вдови в подушечках,
181;;Мамуню серденько.
182;;
183;;– Ой що ж же ти вечеряв,
184;;Сину Василеньку?
185;;– Рибу з штирма ябочками,
186;;Мамуню серденько.
187;;– Рибу з штирма ябочками,
188;;Мамуню серденько.
189;;
190;;– Ой де ж вона ї ловила,
191;;Сину Василеньку?
192;;– Під вербою коцюбою,
193;;Мамуню серденько.
194;;– Під вербою коцюбою,
195;;Мамуню серденько.
196;;
197;;– Чим же вона ї чистила,
198;;Сину Василеньку?
199;;– Сокирою до порога,
200;;Мамуню серденько.
201;;– Сокирою до порога,
202;;Мамуню серденько.
203;;
204;;– В чім же вона ї варила,
205;;Сину Василеньку?
206;;– В черепочку при жарочку,
207;;Мамуню серденько.
208;;– В черепочку при жарочку,
209;;Мамуню серденько.
210;;
211;;– Ой чи їла вона сама,
212;;Сину Василеньку?
213;;– Ой не їла, – слаба була,
214;;Мамуню серденько.
215;;– Ой не їла, – слаба була,
216;;Мамуню серденько.
217;;
218;;– А чи їли її діти,
219;;Сину Василеньку?
220;;– Ой не їли, – спати хтіли,
221;;Мамуню серденько.
222;;– Ой не їли, – спати хтіли,
223;;Мамуню серденько.
224;;
225;;– А чи їли її слуги,
226;;Сину Василеньку?
227;;– Ой не їли, бо не хтіли,
228;;Мамуню серденько.
229;;– Ой не їли, бо не хтіли,
230;;Мамуню серденько.
231;;
232;;– Якого ж ти, батька треба,
233;;Сину Василеньку?
234;;– Ой попика з книжечкою,
235;;Мамуню серденько.
236;;– Ой попика з книжечкою,
237;;Мамуню серденько.
238;;
239;;– Яких тобі дружбів треба,
240;;Сину Василеньку?
241;;– Два хлопчики з хореньгвами,
242;;Мамуню серденько.
243;;– Два хлопчики з хореньгвами,
244;;Мамуню серденько.
245;;
246;;– Яких тобі свахів треба,
247;;Сину Василеньку?
248;;– Три жіночки з свічечками,
249;;Мамуню серденько.
250;;– Три жіночки з свічечками,
251;;Мамуню серденько.
252;;
253;;– Якої ж ти хати треба,
254;;Сину Василеньку?
255;;– Штири дошки й землі трошки,
256;;Мамуню серденько.
257;;– Штири дошки й землі трошки,
258;;Мамуню серденько.
259;;
260;ОЙ ЧИЄ Ж ТО ПОЛЕ;Ой чиє ж то поле,
261;;Широке та довге?
262;;Чи не того козаченька,
263;;Шо чорнії брови?
264;;Чи не того козаченька,
265;;Шо чорнії брови?
266;;
267;;Ой чиї ж то воли
268;;По полю блукают?
269;;Чи не того козаченька,
270;;Шо нас трьох коха(й)є?
271;;Чи не того козаченька,
