Text;finals;last_word
ВОГДАЙ, ПО ТІМ БОЦІ;ці;бо^ці
Вогдай, по тім боці,;ці;бо^ці
Вогдай, по толоці;ці;толо^ці
Цигани стояли,;ли;стоя^ли
Да цигани стояли.;ли;стоя^ли
Вогдай, между тими,;ми;ти^ми
Вогдай, циганами;ми;цигана^ми
Циганка ворожка,;ка;воро^жка
Да циганка ворожка.;ка;воро^жка
Вогдай, до той циганочки,;ки;цигано^чки
Вогдай, до ворожечки;ки;вороже^чки
Втоптана дорожка,;ка;доро^жка
[Да втоптана дорожка.];ка;доро^жка
Вогдай, по той стьожки,;ки;стьо^жки
Вогдай, по дорожки;ки;доро^жки
Дівчина ходила,;ла;ходи^ла
[Да дівчина ходила.];ла;ходи^ла
Вогдай, вона ж тую,;ую;ту^ю
Вогдай, циганочку,;ку;цигано^чку
Вірненько просила,;ла;проси^ла
[Да вірненько просила:];ла;проси^ла
– Вогдай, циганочко,;ко;цигано^чко
Вогдай, ворожечко,;ко;вороже^чко
Вчини ж мою волю,;лю;во^лю
[Да вчини ж мою волю:];лю;во^лю
Вогдай, счаруй, счаруй,;уй;сча^руй
Вогдай, козаченька,;ка;козаче^нька
Навіки зо мною,;ою;мно^ю
[Да навіки зо мною.];ою;мно^ю
– Вогдай, по тім боці,;ці;бо^ці
Вогдай, по толоці;ці;толо^ці
Буркан-зілля в’ється,;ся;вє^ться
[Да буркан-зілля в’ється,];ся;вє^ться
Вогдай, над тою, да;да;да
Вогдай, дівчиною,;ою;дівчино^ю
Три козаки б’ється,;ся;бє^ться
[Да три козаки б’ється.];ся;бє^ться
Вогдай, їден козак,;ак;ко^зак
Вогдай, коло стола;ла;сто^ла
Дрібні листи пише,;ше;пи^ше
[Да дрібні листи пише,];ше;пи^ше
Вогдай, другий козак,;ак;ко^зак
Вогдай, дівчиноньці;ці;дівчино^ньці
Червінцями сипе,;пе;си^пе
[Да червінцями сипе,];пе;си^пе
Вогдай, третій козак,;ак;ко^зак
Вогдай, коло порога,;га;поро^га
Дрібні сльози ллються,;ся;ллю^ться
[Да дрібні сльози ллються.];ся;ллю^ться
